[13-Mar-2026 00:32:31 UTC] PHP Warning:  Undefined property: WP_Ajax_Upgrader_Skin::$api in /workspaces/UX221Assignment2/.wordpress/wp-admin/includes/class-theme-upgrader.php on line 160
[13-Mar-2026 00:32:46 UTC] PHP Warning:  Undefined variable $parent_theme_name in /workspaces/UX221Assignment2/.wordpress/wp-content/mu-plugins/one-click-child-theme/templates/create_child_form.php on line 18
[13-Mar-2026 00:32:52 UTC] PHP Warning:  Undefined variable $parent_theme_name in /workspaces/UX221Assignment2/.wordpress/wp-content/mu-plugins/one-click-child-theme/templates/create_child_form.php on line 18
[13-Mar-2026 00:52:12 UTC] PHP Warning:  Undefined variable $parent_theme_name in /workspaces/UX221Assignment2/.wordpress/wp-content/mu-plugins/one-click-child-theme/templates/create_child_form.php on line 18
[14-Mar-2026 02:53:50 UTC] PHP Fatal error:  Out of memory (allocated 35651584 bytes) (tried to allocate 2097152 bytes) in /workspaces/UX221Assignment3/.wordpress/wp-content/plugins/ecommerce-product-catalog/includes/settings/settings-functions.php on line 747
[14-Mar-2026 02:53:50 UTC] PHP Fatal error:  Out of memory (allocated 35651584 bytes) (tried to allocate 2097152 bytes) in /workspaces/UX221Assignment3/.wordpress/wp-includes/sodium_compat/src/Core/Util.php on line 12
[14-Mar-2026 02:53:57 UTC] PHP Fatal error:  Out of memory (allocated 31457280 bytes) (tried to allocate 2097152 bytes) in /workspaces/UX221Assignment3/.wordpress/wp-content/plugins/ecommerce-product-catalog/includes/settings/settings-functions.php on line 759
[14-Mar-2026 02:53:57 UTC] PHP Fatal error:  Out of memory (allocated 31457280 bytes) (tried to allocate 2097152 bytes) in /workspaces/UX221Assignment3/.wordpress/wp-includes/Requests/src/Cookie/Jar.php on line 32
[14-Mar-2026 02:53:58 UTC] PHP Fatal error:  Out of memory (allocated 29360128 bytes) (tried to allocate 2097152 bytes) in /workspaces/UX221Assignment3/.wordpress/wp-content/plugins/ecommerce-product-catalog/includes/activation-config.php on line 572
[14-Mar-2026 02:53:58 UTC] PHP Fatal error:  Out of memory (allocated 29360128 bytes) (tried to allocate 2097152 bytes) in /workspaces/UX221Assignment3/.wordpress/wp-includes/Requests/src/Cookie/Jar.php on line 32
[14-Mar-2026 02:54:03 UTC] PHP Fatal error:  Out of memory (allocated 29360128 bytes) (tried to allocate 2097152 bytes) in /workspaces/UX221Assignment3/.wordpress/wp-content/plugins/ecommerce-product-catalog/includes/activation-config.php on line 565
[14-Mar-2026 02:54:03 UTC] PHP Fatal error:  Out of memory (allocated 29360128 bytes) (tried to allocate 2097152 bytes) in /workspaces/UX221Assignment3/.wordpress/wp-includes/Requests/src/Cookie/Jar.php on line 32
[14-Mar-2026 02:54:04 UTC] PHP Fatal error:  Out of memory (allocated 29360128 bytes) (tried to allocate 2097152 bytes) in /workspaces/UX221Assignment3/.wordpress/wp-content/plugins/ecommerce-product-catalog/includes/activation-config.php on line 565
[14-Mar-2026 02:54:04 UTC] PHP Fatal error:  Out of memory (allocated 29360128 bytes) (tried to allocate 2097152 bytes) in /workspaces/UX221Assignment3/.wordpress/wp-includes/Requests/src/Cookie/Jar.php on line 32
[14-Mar-2026 02:54:07 UTC] PHP Fatal error:  Out of memory (allocated 29360128 bytes) (tried to allocate 2097152 bytes) in /workspaces/UX221Assignment3/.wordpress/wp-content/plugins/ecommerce-product-catalog/includes/settings/settings-functions.php on line 205
[14-Mar-2026 02:54:07 UTC] PHP Fatal error:  Out of memory (allocated 29360128 bytes) (tried to allocate 2097152 bytes) in /workspaces/UX221Assignment3/.wordpress/wp-includes/Requests/src/Cookie/Jar.php on line 32
[14-Mar-2026 02:55:50 UTC] PHP Fatal error:  Out of memory (allocated 29360128 bytes) (tried to allocate 2097152 bytes) in /workspaces/UX221Assignment3/.wordpress/wp-content/plugins/ecommerce-product-catalog/includes/settings/tooltips.php on line 155
[14-Mar-2026 02:55:50 UTC] PHP Fatal error:  Out of memory (allocated 29360128 bytes) (tried to allocate 2097152 bytes) in /workspaces/UX221Assignment3/.wordpress/wp-includes/Requests/src/Cookie/Jar.php on line 32
[14-Mar-2026 02:57:06 UTC] PHP Fatal error:  Out of memory (allocated 29360128 bytes) (tried to allocate 2097152 bytes) in /workspaces/UX221Assignment3/.wordpress/wp-content/plugins/ecommerce-product-catalog/includes/settings/tooltips.php on line 155
[14-Mar-2026 02:57:06 UTC] PHP Fatal error:  Out of memory (allocated 29360128 bytes) (tried to allocate 2097152 bytes) in /workspaces/UX221Assignment3/.wordpress/wp-includes/Requests/src/Cookie/Jar.php on line 32
